IDZC	NLOCALIDAD	
005	CAVANCHA
017	EL JILGUERO
031	LA TOTORA
901	INDETERMINADA
001	
002	
005	CAVANCHA
060	QUEBRADA VALPARASO
901	INDETERMINADA
001	
002	
003	
004	
002	BUENA ESPERANZA
006	CENTINELA
008	CHAMONATE
010	CUATRO PALOMA
014	EL COLMO
028	LA COMPAA
036	LLANOS DE FERREIRA
038	LONGOMILLA
063	SANTA TERESA
024	ESTACIN ROMERO
042	POZO SECO
901	INDETERMINADA
901	INDETERMINADA
012	DOMEYKO
045	QUEBRADA ALGARROBAL ESTE
901	INDETERMINADA
035	LLANO CHACRITAS
043	PUNTA DE MARAN
901	INDETERMINADA
018	EL MOLLE
023	ESTACIN ALGARROBAL
044	QUEBRADA ALGARROBAL
901	INDETERMINADA
021	EL PINGO
039	MERCEDITA
901	INDETERMINADA
004	CAMARONES
009	CHAAR BLANCO
025	IMPERIAL
030	LA POSADA
032	LA VERBENA
033	LAS POROTAS
055	QUEBRADA LA MOLLACA
059	QUEBRADA SAN ANTONIO
061	QUEBRADA VELADERO
062	SANTA JUANA
901	INDETERMINADA
011	CUESTA PAJONALES
026	INCAHUASI
901	INDETERMINADA
010	CUATRO PALOMA
024	ESTACIN ROMERO
032	LA VERBENA
051	QUEBRADA EL ZANCUDO
056	QUEBRADA LAS CAAS
901	INDETERMINADA
999	
002	ALTO DEL CARMEN
005	COMUNIDAD AGRCOLA HISTRICA LOS HUASCOALTINOS
016	EL TABACO
029	LA VEGA
005	COMUNIDAD AGRCOLA HISTRICA LOS HUASCOALTINOS
005	COMUNIDAD AGRCOLA HISTRICA LOS HUASCOALTINOS
018	EL TRNSITO
028	LA TOTORA
005	COMUNIDAD AGRCOLA HISTRICA LOS HUASCOALTINOS
020	JUNTA DE VALERIANO
005	COMUNIDAD AGRCOLA HISTRICA LOS HUASCOALTINOS
022	LA CUESTA
032	PIEDRAS JUNTAS
901	INDETERMINADA
003	CERRO ALEGRE
009	EL CHURCAL
024	LA HIGUERITA
025	LA MAJADA
031	LOS CANALES
034	SAN FLIX
901	INDETERMINADA
006	CRUCECITA
025	LA MAJADA
901	INDETERMINADA
001	ALGARROBAL
004	CERRO BLANCO
013	EL PEDREGAL
033	RETAMO
901	INDETERMINADA
010	EL CORRAL
019	EL VERRACO
027	LA PLATA
030	LAS BREAS
901	INDETERMINADA
012	EL MAITN
015	EL SOMBRO
901	INDETERMINADA
023	LA HIGUERA
999	
001	CAPOTE
001	
002	
004	FREIRINA
005	LAS TABLAS
007	LOS LOROS
008	MAITENCILLO
009	NICOLASA
011	SAN JUAN
012	TATARA
013	VICUA MACKENNA
006	LOS BRONCES
010	QUEBRADITA
002	CARRIZALILLO
003	CHAARAL DE ACEITUNO
999	
001	
002	
003	
004	
006	CAPOTE
009	EL PINO
011	HUASCO BAJO
017	LOS TOYOS
025	PUNTA ALCALDE
029	VILLA GUACOLDA
030	VIZNAGAS
901	INDETERMINADA
002	CALETA ANGOSTA
003	CALETA CORRALES
005	CANTO DE AGUA
007	CARRIZAL
014	LLANOS DEL LAGARTO
016	LOS POZOS
019	PIEDRA AZUL
020	PIEDRA DE LA MONJA
022	PLAYA BLANCA
